,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,emotion
0,-663.8306274414062,61.3800048828125,2.275193452835083,12.700736045837402,-4.2155938148498535,-4.703433513641357,-11.695961952209473,-3.269568681716919,-8.981364250183105,-0.01991785503923893,-10.663829803466797,-0.9264886379241943,-4.929964065551758,-4.112146377563477,-3.859067916870117,-5.445919990539551,-3.6185121536254883,-3.0848639011383057,-5.510070323944092,-3.262892484664917,-5.638199329376221,-3.3064897060394287,-5.148290634155273,-3.459402084350586,-4.284074306488037,-3.75799298286438,-3.992417573928833,-2.307823896408081,-2.5575063228607178,0.26139917969703674,0.9932796955108643,-0.2690334916114807,0.04459063708782196,-0.20926329493522644,-0.49777665734291077,0.5007296204566956,1.9430266618728638,2.3007242679595947,2.2400431632995605,1.9390228986740112,neutral
1,-673.0367431640625,62.55044174194336,0.6014722585678101,15.311870574951172,-4.809892654418945,-4.601824760437012,-12.602208137512207,-1.9576926231384277,-8.404150009155273,1.015035629272461,-10.734161376953125,-0.5511921048164368,-5.089576721191406,-3.638974666595459,-4.569082736968994,-4.776368618011475,-3.1160643100738525,-2.652468204498291,-6.024102210998535,-1.322943091392517,-5.448739528656006,-3.8101935386657715,-4.6929216384887695,-3.374058723449707,-4.835372447967529,-3.675793409347534,-2.592301368713379,-0.8684470653533936,-1.3453290462493896,0.5762050747871399,-0.06224145367741585,-0.39355534315109253,-2.1150131225585938,-1.691603422164917,0.04267364367842674,2.9338364601135254,3.3139474391937256,2.256333112716675,1.9031440019607544,1.184943675994873,neutral
2,-636.0923461914062,56.017391204833984,-0.508636474609375,12.538564682006836,-3.373842716217041,-7.167713642120361,-18.05820655822754,-3.4419519901275635,-9.223587036132812,2.852147340774536,-11.077178955078125,-0.23709125816822052,-5.259296417236328,-5.182786464691162,-2.4919674396514893,-4.342124938964844,-4.945532321929932,-2.2283968925476074,-8.6339693069458,-2.028602361679077,-5.182712554931641,-4.17426061630249,-3.72180438041687,-2.4748282432556152,-4.2207183837890625,-1.077187180519104,-0.4868680536746979,0.3945099413394928,1.2551758289337158,0.6604040861129761,0.31997060775756836,2.261099338531494,1.1650172472000122,2.3843307495117188,0.5022182464599609,0.8656042814254761,0.35230275988578796,0.9736372828483582,1.3235503435134888,1.3749005794525146,neutral
3,-638.7946166992188,48.27198028564453,1.3976593017578125,12.303373336791992,-3.5448734760284424,-6.282190322875977,-14.747786521911621,-4.575645446777344,-7.459646224975586,-1.5762075185775757,-8.344619750976562,0.4439851939678192,-7.207126140594482,-3.2816755771636963,-5.008748531341553,-4.896143436431885,-2.9807817935943604,-2.263777732849121,-7.1427001953125,-1.5944597721099854,-5.51373291015625,-4.310720443725586,-3.4348251819610596,-1.0412520170211792,-3.1644632816314697,-1.6530011892318726,-0.9787108898162842,-2.093942642211914,-2.196061611175537,0.43489372730255127,1.9291439056396484,4.398609638214111,3.808505058288574,2.3013174533843994,0.6722551584243774,-0.39879652857780457,0.11400336772203445,2.5318853855133057,3.7959372997283936,1.7601710557937622,neutral
4,-711.4360961914062,60.887489318847656,-1.1546090841293335,12.516332626342773,-4.9836907386779785,-2.3081207275390625,-15.428706169128418,-0.8451722860336304,-6.211278438568115,0.2850847840309143,-11.61882495880127,-0.9164161682128906,-5.2592573165893555,-3.214218854904175,-4.4612298011779785,-3.779407024383545,-7.028954982757568,-1.9158506393432617,-6.14638614654541,-2.205984354019165,-4.055357933044434,-3.4798622131347656,-3.8899078369140625,-4.377363681793213,-4.548855781555176,-3.8726210594177246,-3.9579646587371826,-3.037175178527832,-3.9147286415100098,-1.8024332523345947,0.15202274918556213,1.8911750316619873,2.590122938156128,2.3469693660736084,0.02904205396771431,0.8657345771789551,-0.0013824462657794356,2.618527889251709,4.170863628387451,6.991181373596191,calm
5,-650.7490844726562,59.23579025268555,2.014552354812622,15.180414199829102,-2.258323907852173,-7.251875877380371,-13.122605323791504,-0.3133009374141693,-7.9916253089904785,-1.367669939994812,-11.502218246459961,-0.33636656403541565,-5.183465003967285,-1.8263086080551147,-3.7123570442199707,-5.290180683135986,-5.048482418060303,-3.384963035583496,-6.883502006530762,-2.2579638957977295,-5.446843147277832,-3.6694211959838867,-5.069817066192627,-2.6959195137023926,-3.3246145248413086,-0.12517085671424866,-0.08643107861280441,0.037286266684532166,-0.8365209698677063,-0.7421639561653137,-0.5864207744598389,1.5392991304397583,2.0670483112335205,0.46065419912338257,-0.311948299407959,-0.027715260162949562,0.4207029640674591,1.06169593334198,2.73656964302063,2.10139536857605,calm
6,-671.5565185546875,48.21684646606445,4.925352573394775,13.68027114868164,-2.884213447570801,-7.266031265258789,-15.768966674804688,-3.1498167514801025,-9.70130443572998,-0.26612910628318787,-12.496358871459961,-0.14634007215499878,-4.224407196044922,-5.784004211425781,-4.6841583251953125,-3.2554428577423096,-5.307104587554932,-0.8049059510231018,-6.883808612823486,-3.6578640937805176,-6.476022243499756,-3.3101871013641357,-3.8551716804504395,-3.9342777729034424,-4.215417861938477,-2.2213361263275146,-2.9726526737213135,-3.3755531311035156,-2.6829137802124023,-1.287619709968567,-0.4153159558773041,1.3001224994659424,2.041982650756836,3.74548077583313,1.6421184539794922,2.708477735519409,2.145131826400757,2.1375348567962646,1.5868239402770996,1.7703131437301636,calm
7,-646.2976684570312,47.27690124511719,2.4941508769989014,14.42719841003418,-3.3514657020568848,-4.8473286628723145,-15.440739631652832,-4.325970649719238,-6.673716068267822,-0.1143682450056076,-11.258578300476074,-1.0174815654754639,-5.1590118408203125,-4.294042587280273,-6.264286041259766,-3.4175844192504883,-4.554168701171875,-2.6992788314819336,-7.685098648071289,-3.0140810012817383,-5.741483688354492,-5.7224345207214355,-3.9587080478668213,-3.529440402984619,-5.379739284515381,-2.7563748359680176,-4.861791610717773,-3.1380648612976074,-4.609731674194336,-2.8006622791290283,-2.483931541442871,0.3246845602989197,0.7662044763565063,3.66819167137146,2.461611747741699,1.612288236618042,1.078027606010437,1.2329777479171753,3.115858316421509,3.576317310333252,calm
8,-648.8812255859375,53.018035888671875,-2.3722453117370605,10.199142456054688,-5.647791385650635,-4.55638313293457,-14.092126846313477,-3.115532636642456,-5.299857139587402,-1.4053897857666016,-10.414563179016113,-1.6064248085021973,-5.124020576477051,-2.7350621223449707,-3.6578288078308105,-4.340672016143799,-4.489762306213379,-1.701837420463562,-6.330738067626953,-2.929299831390381,-5.994128704071045,-3.239595413208008,-2.2058427333831787,-2.505946636199951,-2.2587971687316895,-3.111229181289673,-1.8486599922180176,-1.390243649482727,0.6804347038269043,0.9305935502052307,-0.5091028213500977,-0.6879702210426331,-1.547034502029419,1.0645530223846436,1.789015769958496,4.096033573150635,1.4846373796463013,0.610615074634552,2.088648557662964,3.841913938522339,calm
9,-619.0966796875,60.823490142822266,-4.413905143737793,14.370906829833984,0.359985888004303,-4.301767349243164,-13.262224197387695,-2.726969003677368,-6.722317218780518,1.8515187501907349,-13.65532112121582,-2.9301791191101074,-3.687084913253784,-3.781538248062134,-4.899046421051025,-2.9007561206817627,-5.406517505645752,-0.3781134784221649,-6.392010688781738,-3.058483123779297,-3.611654758453369,-3.08347749710083,-3.946824073791504,-3.924610137939453,-5.689772605895996,-1.6222871541976929,-3.8839807510375977,-1.4015864133834839,-2.7643587589263916,1.7160141468048096,3.02915620803833,4.6715850830078125,1.0193567276000977,1.728766918182373,0.4049237370491028,2.5343189239501953,4.5849199295043945,4.898670673370361,3.867626190185547,1.8510035276412964,calm
